Suburb,Pharmacy name,Address,Postcode,Phone,Local Government Area,Service
Haymarket,Chemist Warehouse Haymarket,"Ground Floor 2, 827-837 George Street",2000,(02) 9212 3513,"Sydney, Council of the City of","Urinary tract infection, Oral contraceptive pill"
Haymarket,Market City Pharmacy,R127/9-13 Hay Street,2000,(02) 9212 3722,Council of the City of Sydney,"Urinary tract infection, Oral contraceptive pill"
Heathcote,L & A Macinante Chemist,4/1337 Princess Highway,2233,(02) 9520 8696,Sutherland Shire Council,"Urinary tract infection, Oral contraceptive pill"
Helensburgh,Helensburgh Pharmacy,121 Parkes Street,2508,(02) 4294 2772,Wollongong City Council,"Urinary tract infection, Oral contraceptive pill"
Hillsdale,Chemist Warehouse Hillsdale,"Southpoint Shopping CentreShop MM1, 238-262 Bunnerong Road",2036,(02) 9311 4426,Bayside Council,"Urinary tract infection, Oral contraceptive pill"
Homebush,Homebush Pharmacy,23 Rochester Street,2140,(02) 9746 7049,Strathfield Municipal Council,"Urinary tract infection, Oral contraceptive pill"
Horningsea Park,Priceline Pharmacy Carnes Hill,"Shop B09, Corner Cowpasture & Kurrajong Roads",2171,(02) 9608 6622,Liverpool City Council,"Urinary tract infection, Oral contraceptive pill"
Hornsby,Priceline Pharmacy Hornsby,Shop 1001-1003,2077,(02) 9987 4241,The Council of the Shire of Hornsby,Oral contraceptive pill
Hornsby,Aussie Pharmacy Hornsby,21-23 Florence Sreet,2077,(02) 9987 2233,The Council of the Shire of Hornsby,"Urinary tract infection, Oral contraceptive pill"
Hornsby,TerryWhite Chemmart Hornsby,Shop 1043/236 Pacific Highway,2077,(02) 9477 5085,The Council of the Shire of Hornsby,"Urinary tract infection, Oral contraceptive pill"
Hoxton Park,Hoxton Park Pharmacy,14/600 Hoxton Park Road,2171,(02) 9825 8444,Liverpool City Council,"Urinary tract infection, Oral contraceptive pill"
Hurstville,Chemist Warehouse Hurstville Westfield,Shop 216B/218A 3 Cross Street,2220,(02) 8567 4444,Georges River Council,"Urinary tract infection, Oral contraceptive pill"
Hurstville,Chemist Warehouse Hurstville Forest Rd,"Ground Floor, 272-274 Forest Road",2220,(02) 9586 4300,Georges River Council,"Urinary tract infection, Oral contraceptive pill"
Hurstville,Hurstville Chinatown Pharmacy,172 Forest Road,2220,(02) 9580 8462,Georges River Council,"Urinary tract infection, Oral contraceptive pill"
Hurstville,Michael's Compounding Pharmacy,Lot 2/145 Forest Road,2220,(02) 9585 2033,Georges River Council,"Urinary tract infection, Oral contraceptive pill"
Hurstville,Infinity Pharmacy Hurstville,"Shop 132-136A, Corner Cross Street and Park Road",2220,(02) 9579 4633,Georges River Council,"Urinary tract infection, Oral contraceptive pill"
Hurstville,The Medical Shoppe,10 Park Road,2220,(02) 9579 1322,Georges River Council,"Urinary tract infection, Oral contraceptive pill"
Hurstville,Atallah's Pharmacy,185A Forest Road,2220,(02) 8084 2054,Georges River Council,Urinary tract infection
Huskisson,Capital Chemist Huskisson,"Shop 1 & 2A, 56 Owen Street​",2540,(02) 4441 5104,Shoalhaven City Council,"Urinary tract infection, Oral contraceptive pill"
Illawong,TerryWhite Chemmart Illawong,"Shop G12-14, 273 Fowler Road",2234,(02) 9543 1639,Sutherland Shire Council,"Urinary tract infection, Oral contraceptive pill"
Iluka,Iluka Pharmacy,4A Young Street,2466,(02) 6646 6164,Clarence Valley Council,"Urinary tract infection, Oral contraceptive pill"
Ingleburn,Priceline Pharmacy Ingleburn,"Shops 19 and 20, 100 Macquarie Road",2565,(02) 9605 8591,Campbelltown City Council,"Urinary tract infection, Oral contraceptive pill"
Inverell,Inverell Pharmacy,132-134 Byron Street,2360,(02) 6722 3146,Inverell Shire Council,"Urinary tract infection, Oral contraceptive pill"
Inverell,Campbell & Freebairn Chemist,66 Otho Street,2360,(02) 6722 3089,Inverell Shire Council,"Urinary tract infection, Oral contraceptive pill"
Inverell,Dittons Pharmacy,77 Byron Street,2360,(02) 6722 2639,Inverell Shire Council,"Urinary tract infection, Oral contraceptive pill"
Jannali,Mycare Jannali Pharmacy,562 Box Road,2226,(02) 9528 9335,Sutherland Shire Council,"Urinary tract infection, Oral contraceptive pill"
Jerrabomberra,Soul Pattinson Chemist Jerrabomberra,"Jerrabomberra Village Shopping Centre, 6 Limestone Drive",2619,(02) 6299 9785,Queanbeyan-Palerang Regional Council,"Urinary tract infection, Oral contraceptive pill"
Jesmond,Priceline Pharmacy Jesmond,0A/28 Blue Gum Road,2299,(02) 4955 8434,Newcastle City Council,"Urinary tract infection, Oral contraceptive pill"
Jewells,Jewellstown Pharmacy Priceline,"Shop 30, 75 Ntaba Road",2280,(02) 4948 5766,Lake Macquarie City Council,"Urinary tract infection, Oral contraceptive pill"
Jindera,TerryWhite Chemmart Jindera,"Shop 4 & 5, 82 Urana Street",2642,(02) 6026 3271,Lockhart Shire Council,"Urinary tract infection, Oral contraceptive pill"
Jordan Springs,TerryWhite Chemmart Jordan Spring,Corner Jordan Springs Blvd and Lakeside Parade,2747,(02) 8834 9010,Penrith City Council,"Urinary tract infection, Oral contraceptive pill"
Kanahooka,Kanahooka Pharmacy,1/56 Lakeside Drive,2530,(02) 4260 8551,Wollongong City Council,"Urinary tract infection, Oral contraceptive pill"
Kanwal,Kanwal Medical Centre Pharmacy,"Suite K2, 654 Pacific Highway",2259,(02) 4393 3221,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
Kanwal,Kanwal Village Pharmacy,Shop 1/260 Wallarah Road,2259,(02) 4392 5533,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
Karabar,Blooms the Chemist Karabar,Shop 6,2620,(02) 6297 3670,Queanbeyan-Palerang Regional Council,"Urinary tract infection, Oral contraceptive pill"
Kareela,Kareela Community Pharmacy,Shop 7/1-13 Freya Street,2232,(02) 9528 2288,Sutherland Shire Council,"Urinary tract infection, Oral contraceptive pill"
Karuah,Karuah Pharmacy,413 Tarean Road,2324,(02) 4997 5557,Port Stephens Council,"Urinary tract infection, Oral contraceptive pill"
Katoomba,Greenwell and Thomas,145 Katoomba Street,2780,(02) 4782 1066,Blue Mountains City Council,Urinary tract infection
Keiraville,Campus Pharmacy Wollongong,"University Of Wollongong Building 11, 2 Northfields Avenue",2500,(02) 4288 1888,Wollongong City Council,"Urinary tract infection, Oral contraceptive pill"
Kellyville,National Pharmacies Kellyville,Shop 35/90 Wrights Road,2155,(02) 9629 1403,The Hills Shire Council,"Urinary tract infection, Oral contraceptive pill"
Kellyville,Pharmacy Focus Kellyville,The North VillageShop 7 4 Beaton Road,2155,(02) 8883 4664,The Hills Shire Council,"Urinary tract infection, Oral contraceptive pill"
Kellyville,Priceline Pharmacy Kellyville,"Shop C5A, 2 Hector Court,",2155,(02) 9044 1528,The Hills Shire Council,"Urinary tract infection, Oral contraceptive pill"
Kelso,TerryWhite Chemmart Kelso,Shop 8 13 Marsden Lane,2795,(02) 6334 2238,Bathurst Regional Council,"Urinary tract infection, Oral contraceptive pill"
Kempsey,Kempsey West Pharmacy,32 Elbow Street,2440,(02) 6562 7777,Kempsey Shire Council,"Urinary tract infection, Oral contraceptive pill"
Kempsey,Amcal + Pharmacy Kempsey,"Shop 5-7, 2 Belgrave Street",2440,(02) 6562 4266,Kempsey Shire Council,"Urinary tract infection, Oral contraceptive pill"
Kempsey,Kempsey Pharmacy,7 Belgrave Street,2440,(02) 6563 1111,Kempsey Shire Council,"Urinary tract infection, Oral contraceptive pill"
Kenthurst,Kenthurst Pharmacy,Shop 5A/4 Nelson Street,2156,(02) 9654 1984,The Hills Shire Council,"Urinary tract infection, Oral contraceptive pill"
Kiama,Kiama Pharmacy,83 Manning Street,2533,(02) 4232 2532,"Kiama, The Council of the Municipality of","Urinary tract infection, Oral contraceptive pill"
Kiama,Kiama Health Destination Pharmacy,"Shop 5, 143 Teralong Street",2533,(02) 4232 3330,The Council of the Municipality of Kiama,"Urinary tract infection, Oral contraceptive pill"
Kiama,Blooms the Chemist Kiama,118 Terralong Street,2533,(02) 4232 1046,The Council of the Municipality of Kiama,"Urinary tract infection, Oral contraceptive pill"
Kincumber,Priceline Pharmacy Kincumber,"Shop 4, Avoca Drive",2251,(02) 4369 6900,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
Kings Langley,Kingslangely Discount Drug Store,Shop 5/125 James Cook Drive,2147,(02) 9674 3341,Blacktown City Council,"Urinary tract infection, Oral contraceptive pill"
Kingscliff,Kingscliff Beach Chempro Chemist,40 Marine Parade,2487,(02) 6674 1104,Tweed Shire Council,"Urinary tract infection, Oral contraceptive pill"
Kingscliff,Kingscliff 7-Day Chempro,84 Marine Parade,2487,(02) 6674 1140,Tweed Shire Council,"Urinary tract infection, Oral contraceptive pill"
Kingsgrove,Blue Cross Pharmacy,322 Kingsgrove Road,2208,(02) 9554 9002,Bayside Council,"Urinary tract infection, Oral contraceptive pill"
Kingsgrove,Chapel Street Pharmacy,94 Chapel Street,2208,(02) 9750 7000,Canterbury Bankstown Council,"Urinary tract infection, Oral contraceptive pill"
Kingston​,Capital Chemist Kingston,62 Jardine Street​,2604,(02) 6295 9146,​Australian Capital Territory,"Urinary tract infection, Oral contraceptive pill"
Kingswood,Specialist Clinic Pharmacy,3/64-68 Derby Street,2747,(02) 4737 3456,Penrith City Council,"Urinary tract infection, Oral contraceptive pill"
Kirrawee,David Wilson Chemist Kirrawee,498-500 Princes Highway,2232,(02) 9542 3530,Sutherland Shire Council,Urinary tract infection
Kirrawee,Kirrawee Pharmacy,156 Oak Road,2232,(02) 9521 1378,Sutherland Shire Council,"Urinary tract infection, Oral contraceptive pill"
Kogarah,Zainabs Pharmacy,1 Queen Victoria Street,2217,(02) 9587 5814,Bayside Council,"Urinary tract infection, Oral contraceptive pill"
Kogarah,TerryWhite Chemmart Kogarah,"Shop 1, 1 Railway Parade",2217,(02) 9587 1909,Bayside Council,"Urinary tract infection, Oral contraceptive pill"
Kogarah,St George Prescription Centre,1/24 Belgrave Street,2217,(02) 9588 4774,Georges River Council,"Urinary tract infection, Oral contraceptive pill"
Kooringal,Kooringal Pharmacy,25/269-293 Lake Albert Road,2650,(02) 6922 6671,Wagga Wagga City Council,"Urinary tract infection, Oral contraceptive pill"
Kootingal,The Centre Pharmacy Kootingal,"Shop 3, 12 Gate Street",2352,(02) 6760 3696,Tamworth Regional Council,"Urinary tract infection, Oral contraceptive pill"
Kotara,Pharmacy 4 Less Kotara,"Shop A1, Corner Park Avenue & Kullaiba Road",2289,(02) 4957 1594,Newcastle City Council,"Urinary tract infection, Oral contraceptive pill"
Kotara,Scott-Dibben Chemist,FH2 Park Avenue,2289,(02) 4957 5287,Newcastle City Council,"Urinary tract infection, Oral contraceptive pill"
Kotara,Priceline Pharmacy Kotara,Shop 1060,2289,(02) 4952 2641,Newcastle City Council,"Urinary tract infection, Oral contraceptive pill"
Kurrajong,Kurrajong Pharmacy,74C Old Bells Line Of Road,2758,(02) 4573 0931,Hawkesbury City Council,"Urinary tract infection, Oral contraceptive pill"
Kurri Kurri,Priceline Pharmacy Kurri Kurri,178 Lang Street,2327,(02) 4937 1162,Cessnock City Council,"Urinary tract infection, Oral contraceptive pill"
Kurri Kurri,Your Discount Chemist Kurri Kurri,169-173 Lang Street,2327,(02) 4937 1291,Cessnock City Council,"Urinary tract infection, Oral contraceptive pill"
Kyogle,Kyogle Pharmacy,111 Summerland Way,2474,(02) 6632 1016,Kyogle Council,"Urinary tract infection, Oral contraceptive pill"
Lake Albert,Lake Albert Pharmacy,Lake Village Shopping Centre7/39 Gregory Crescent,2650,(02) 6922 3788,Wagga Wagga City Council,"Urinary tract infection, Oral contraceptive pill"
Lake Cathie,Lake Cathie Medical Centre Pharmacy,1459 Ocean Drive,2445,(02) 6585 5085,Port Macquarie-Hastings Council,"Urinary tract infection, Oral contraceptive pill"
Lake Cathie,Your Discount Chemist Lake Cathie,"Shop 5, 1613 Ocean Drive",2445,(02) 6585 5737,Port Macquarie-Hastings Council,"Urinary tract infection, Oral contraceptive pill"
Lake Haven,TerryWhite Chemmart Lake Haven,"Shop 113, Lake Haven Drive",2263,(02) 4392 1055,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
Lake Haven,Priceline Pharmacy Lake Haven,Shop 35 Lake Haven Shopping Centre Lake Haven Dr & Goobarabah Ave,2263,(02) 4392 7873,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
Lake Munmorah,Friendly Pharmacy Lake Munmorah,"Shop M02, 275 Pacific Highway",2259,(02) 4358 3519,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
Lake Munmorah,TerryWhite Chemmart Lake Munmorah,2/95 Anita Avenue,2259,(02) 4358 1262,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
Lakemba,Michael Vasili Chemist,114 Haldon Street,2195,(02) 9759 1125,Canterbury Bankstown Council,"Urinary tract infection, Oral contraceptive pill"
Lakemba,Pharmacy 4 Less Haldon Street,100 Haldon Street,2195,(02) 9750 4431,Canterbury Bankstown Council,Urinary tract infection
Lambton,Piggotts Pharmacy Lambton,117 Elder Street,2299,(02) 4957 3630,City of Newcastle,"Urinary tract infection, Oral contraceptive pill"
Lane Cove,P and J Wade Chemists,"152, Burns Bay Road",2066,(02) 9427 1196,Lane Cove Municipal Council,"Urinary tract infection, Oral contraceptive pill"
Lane Cove,Lane Cove Advantage Pharmacy,121 Longueville Road,2066,(02) 9427 2241,Lane Cove Municipal Council,"Urinary tract infection, Oral contraceptive pill"
Lane Cove,Lane Cove Village Pharmacy,Shop 3/50-54 Burns Bay Road,2066,(02) 9427 0864,Lane Cove Municipal Council,"Urinary tract infection, Oral contraceptive pill"
Lane Cove,Priceline Lane Cove,Shop MM1 24-28 The Plaza,2066,(02) 94186426,Lane Cove Municipal Council,"Urinary tract infection, Oral contraceptive pill"
Lane Cove,Gavin Starr's Pharmacist Advice,36 Burns Bay Road,2066,(02) 9427 1755,Lane Cove Municipal Council,"Urinary tract infection, Oral contraceptive pill"
Lansvale,Lansvale Village Pharmacy,Shop 8/216 Hume Highway,2166,(02) 9728 6125,Fairfield City Council,"Urinary tract infection, Oral contraceptive pill"
Laurieton,Your Discount Chemist Laurieton,85 Bold Street,2443,(02) 6559 9700,Port Macquarie-Hastings Council,"Urinary tract infection, Oral contraceptive pill"
Lavington,TerryWhite Chemmart Northend,"Shop 3, 3/330 Urana Road",2641,(02) 6040 2204,Albury City Council,"Urinary tract infection, Oral contraceptive pill"
Lavington,TerryWhite Chemmart Lavington,"Shops 4-6, 351 Griffith Road",2641,(02) 6025 4733,Albury City Council,"Urinary tract infection, Oral contraceptive pill"
Leeton,The Bush Chemist Leeton,Shop 2/2637 Irrigation Way,2705,(02) 6953 6222,Leeton Shire Council,"Urinary tract infection, Oral contraceptive pill"
Leeton,Leeton Discount Chemist,"Padsite 1, 2-8 Acacia Avenue",2705,(02) 6953 2453,Leeton Shire Council,"Urinary tract infection, Oral contraceptive pill"
Leeton,Leeton Amcal Pharmacy,113 Pine Avenue,2705,(02) 6953 3602,Leeton Shire,"Urinary tract infection, Oral contraceptive pill"
Leichardt,The Pharmacy,118 Elswick Street,2040,(02) 9569 4056,Inner West Council,"Urinary tract infection, Oral contraceptive pill"
Leichhardt,Blooms the Chemist Leichhardt,"Shop 46 Leichhardt Market Place, 122 Flood Street",2040,(02) 9560 9808,Inner West Council,"Urinary tract infection, Oral contraceptive pill"
Leichhardt,Chemist Warehouse Leichhardt,111 Norton Street,2040,(02) 9569 2645,Inner West Council,Urinary tract infection
Leichhardt,Priceline Pharmacy Leichhardt,51-57 Norton Street,2040,(02) 9572 6344,Inner West Council,"Urinary tract infection, Oral contraceptive pill"
Leichhardt,Leichhardt Chemist,30-38 Short Street,2040,(02) 9560 3636,Inner West Council,"Urinary tract infection, Oral contraceptive pill"
Lemon Tree Passage,Lemon Tree Passage Pharmacy,21 Cook Pde Lemon Tree Passage,2319,(02) 4982 3636,Port Stephens Council,Urinary tract infection
Len Waters Estate,TerryWhite Chemmart Landmark,"Shop 4, 515 Cowpasture Road",2171,(02) 8866 3352,Liverpool City Council,"Urinary tract infection, Oral contraceptive pill"
Lennox Head,Lennox Head Chempro Chemist,Shop 14/5 Snapper Drive,2478,(02) 5622 6050,Ballina Shire Council,"Urinary tract infection, Oral contraceptive pill"
Lennox Head,Lennox Head Pharmacy,2-3/64 Ballina Street,2478,(02) 6687 7451,Ballina Shire Council,"Urinary tract infection, Oral contraceptive pill"
Leppington,Chemist Warehouse Emerald Hills,"SubTenancy 5.01, Tenancy No 5 Emerald Hills Shopping Village",2179,(02) 8381 4578,Camden Council,"Urinary tract infection, Oral contraceptive pill"
Leppington,Leppington Village Pharmacy,"Shop T5, Leppington Village, 108-116 Ingleburn Road",2179,(02) 8105 0605,Camden Council,"Urinary tract infection, Oral contraceptive pill"
Lidcombe,Priceline Pharmacy Lidcombe,Shop 37/92 Parramatta Road,2141,(02) 9648 1204,Cumberland Council,"Urinary tract infection, Oral contraceptive pill"
Lindfield,West Lindfield Pharmacy,"Shop 1, 808 Pacific Highway",2070,(02) 9416 2642,Ku-ring-gai Council,"Urinary tract infection, Oral contraceptive pill"
Lindfield,Lindfield Chempro Chemist,316 Pacific Highway,2070,(02) 9416 1305,Ku-ring-gai Council,"Urinary tract infection, Oral contraceptive pill"
Lindfield,Paul Mathieson Chemist,8/12-18 Tryon Road,2070,(02) 9416 2324,Ku-ring-gai Council,"Urinary tract infection, Oral contraceptive pill"
Lisarow,Chemist Outlet Lisarow,Shop 22/1 Parsons Road,2250,(02) 4328 1470,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
Lismore,Brands Pharmacy,136 Molesworth Street,2480,(02) 6621 3921,Lismore City Council,"Urinary tract infection, Oral contraceptive pill"
Lismore,Lismore Central Chempro,10/44 Carrington Street,2480,(02) 6621 9159,Lismore City Council,"Urinary tract infection, Oral contraceptive pill"
Lismore,Epic Pharmacy Lismore,20 Dalley Street,2480,(02) 6240 0600,Lismore City Council,"Urinary tract infection, Oral contraceptive pill"
Lismore,Lismore Woodlark Chempro Chemist,45 Woodlark Street,2480,(02) 6621 5212,Lismore City Council,"Urinary tract infection, Oral contraceptive pill"
Lithgow,Blooms the Chemist Lithgow,Lithgow Valley PlazaCorner Lithgow Street & Bent Street,2790,(02) 6352 2141,City of Lithgow Council,"Urinary tract infection, Oral contraceptive pill"
